STATE,COUNTY,Tract #,Tract Name,Tract Land Area,Tract Water Area,Latitude,Longitude,Population,Median 2010 HH Income,Median # Rooms,Median Value (owner occupied),Median Value per Room,Population Density
Georgia,Fulton County,100,"Census Tract 1, Fulton County, Georgia",3346918,15686,33.7997992,-84.3549254,4433,114922,6.5,550600,84707.69231,132
Georgia,Fulton County,10001,"Census Tract 100.01, Fulton County, Georgia",4042848,40882,33.8638108,-84.373678,4703,88438,5.4,417200,77259.25926,116
Georgia,Fulton County,10002,"Census Tract 100.02, Fulton County, Georgia",6266983,77322,33.8680492,-84.3577716,6614,135455,6.6,627600,95090.90909,106
Georgia,Fulton County,1001,"Census Tract 10.01, Fulton County, Georgia",935252,0,33.7828223,-84.3902405,1806,52411,3.2,344400,107625,193
Georgia,Fulton County,1002,"Census Tract 10.02, Fulton County, Georgia",1774577,0,33.7763249,-84.3995394,9828,30250,3.3,,0,554
Georgia,Fulton County,10106,"Census Tract 101.06, Fulton County, Georgia",6664589,268907,33.9838136,-84.331324,4073,73029,5.7,526000,92280.70175,61
Georgia,Fulton County,10107,"Census Tract 101.07, Fulton County, Georgia",5322423,165349,33.9779261,-84.3038995,1829,161546,9,680900,75655.55556,34
Georgia,Fulton County,10108,"Census Tract 101.08, Fulton County, Georgia",4968109,86883,33.9667899,-84.281527,3999,196875,9,627900,69766.66667,80
Georgia,Fulton County,10110,"Census Tract 101.10, Fulton County, Georgia",5333980,58868,33.9205399,-84.3632094,4450,69198,5.2,282800,54384.61538,83
Georgia,Fulton County,10113,"Census Tract 101.13, Fulton County, Georgia",2197458,10553,33.9051743,-84.3680404,5107,57406,4.3,421200,97953.48837,232
Georgia,Fulton County,10114,"Census Tract 101.14, Fulton County, Georgia",4045927,17773,33.8905536,-84.375836,5926,53375,5.2,407300,78326.92308,146
Georgia,Fulton County,10115,"Census Tract 101.15, Fulton County, Georgia",3450156,40324,33.8967987,-84.3538038,2324,147232,8.2,652600,79585.36585,67
Georgia,Fulton County,10117,"Census Tract 101.17, Fulton County, Georgia",1366296,0,33.9620438,-84.3590974,2801,50554,4.2,115200,27428.57143,205
Georgia,Fulton County,10118,"Census Tract 101.18, Fulton County, Georgia",1956368,13966,33.9735217,-84.3498218,5014,43266,4.5,372400,82755.55556,256
