STATE,COUNTY,Tract #,Tract Name,Tract Land Area,Tract Water Area,Latitude,Longitude,Population,Median 2010 HH Income,Median # Rooms,Median Value (owner occupied),Median Value per Room,Population Density,
New Jersey,Essex County,100,"Census Tract 1, Essex County, New Jersey",938839,6573,40.7824421,-74.1691007,6571,42129,4,350800,87700,699.9070128,
New Jersey,Essex County,1000,"Census Tract 10, Essex County, New Jersey",530442,0,40.7477334,-74.1824077,4545,22714,4.4,327600,74454.54545,856.8326038,
New Jersey,Essex County,10000,"Census Tract 100, Essex County, New Jersey",793040,0,40.7795951,-74.2148655,2550,55496,4.5,276900,61533.33333,321.5474629,
New Jersey,Essex County,10100,"Census Tract 101, Essex County, New Jersey",762551,0,40.7781684,-74.2063475,2587,77246,5.7,266900,46824.5614,339.2559973,
New Jersey,Essex County,10200,"Census Tract 102, Essex County, New Jersey",927188,0,40.7722097,-74.1976056,4716,50458,5.2,257900,49596.15385,508.6347105,
New Jersey,Essex County,10300,"Census Tract 103, Essex County, New Jersey",572732,0,40.7662594,-74.1986428,3677,40747,4.5,279600,62133.33333,642.0105739,
New Jersey,Essex County,10400,"Census Tract 104, Essex County, New Jersey",609816,0,40.7719173,-74.2102845,4848,42929,3.4,123000,36176.47059,794.9938998,
New Jersey,Essex County,10500,"Census Tract 105, Essex County, New Jersey",489578,0,40.7697858,-74.2164291,4783,40228,3.9,267300,68538.46154,976.9638342,
New Jersey,Essex County,10600,"Census Tract 106, Essex County, New Jersey",495313,0,40.7644717,-74.2095966,4026,34792,3.3,195500,59242.42424,812.8193688,
New Jersey,Essex County,10700,"Census Tract 107, Essex County, New Jersey",459470,0,40.7618383,-74.203044,3999,45059,4.6,273400,59434.78261,870.3506214,
New Jersey,Essex County,10800,"Census Tract 108, Essex County, New Jersey",247984,0,40.7598251,-74.19741,2107,25243,5.2,224300,43134.61538,849.6515904,
New Jersey,Essex County,10900,"Census Tract 109, Essex County, New Jersey",958303,0,40.7541544,-74.205462,2828,26326,4.6,261400,56826.08696,295.1049929,
New Jersey,Essex County,1100,"Census Tract 11, Essex County, New Jersey",567202,0,40.7432193,-74.1824533,2986,35000,4.9,270800,55265.30612,526.4438419,
New Jersey,Essex County,11100,"Census Tract 111, Essex County, New Jersey",251402,0,40.7568692,-74.2116527,3488,28684,3.1,152100,49064.51613,1387.419352,
